User_ID,Model_Used,Likes,Dislikes,Donations ($),Time_Spent (min),Conversion_Rate (%),Recommendation_Accuracy (%),Engagement_(min/session),user_age,user_cuisine,sex
44,0,12,2,0.0,107,0.0,84.85,7.13,74,Spanish,Female
45,0,8,2,0.0,155,0.0,71.1,11.92,16,Chinese,Male
46,2,19,7,0.0,178,0.0,77.66,25.43,6,American,Male
47,0,14,4,0.0,126,0.0,69.67,14.0,46,Mexican,Male
48,1,16,10,0.0,98,0.0,67.11,6.53,83,Chinese,Female
49,0,9,7,5.7,174,8.6,89.78,17.4,33,French,Female
50,2,16,6,0.0,94,0.0,77.76,18.8,1,Japanese,Female
51,1,10,2,0.0,172,0.0,67.16,28.67,34,Thai,Male
52,1,16,7,0.0,144,0.0,87.57,9.6,88,American,Female
53,0,12,5,0.0,160,0.0,78.71,12.31,40,Thai,Female
54,2,15,3,0.0,166,0.0,79.56,27.67,95,French,Female
55,2,14,9,0.0,131,0.0,68.73,13.1,45,American,Female
56,2,16,4,0.0,94,0.0,70.52,8.55,24,French,Male
57,0,13,8,0.0,65,0.0,81.78,13.0,11,Thai,Male
58,0,19,6,16.59,100,13.53,71.17,6.67,14,French,Female
59,1,6,9,0.0,133,0.0,62.47,9.5,59,Spanish,Male
60,0,8,6,0.0,127,0.0,83.53,8.47,49,French,Male
61,0,15,2,0.0,69,0.0,62.19,5.75,76,Italian,Male
62,2,9,7,0.0,157,0.0,60.28,17.44,6,Chinese,Male
63,0,12,4,5.47,81,6.28,61.09,16.2,78,Thai,Female
64,0,14,4,0.0,132,0.0,64.02,13.2,39,Italian,Female
65,1,18,8,0.0,140,0.0,76.18,10.77,84,Indian,Female
66,0,16,5,0.0,134,0.0,80.46,16.75,46,Italian,Male
67,1,14,4,0.58,77,11.17,65.93,8.56,50,Japanese,Male
68,1,5,6,9.84,138,9.8,64.68,10.62,75,Indian,Male
69,0,19,5,0.0,87,0.0,60.72,8.7,42,American,Female
70,0,13,1,0.0,170,0.0,73.48,15.45,72,Spanish,Female
71,2,13,8,0.0,102,0.0,71.06,12.75,70,Italian,Female
72,2,9,1,16.0,168,9.88,75.62,14.0,37,Greek,Male
73,1,9,9,0.0,88,0.0,64.8,5.87,1,Chinese,Female
74,2,6,8,0.0,104,0.0,85.39,8.67,34,Greek,Female
75,1,15,8,0.0,164,0.0,63.84,23.43,35,Chinese,Female
76,1,15,10,0.0,114,0.0,65.36,8.77,72,Japanese,Female
77,0,8,1,0.0,108,0.0,61.97,9.82,91,Japanese,Male
78,0,11,3,0.0,118,0.0,61.72,10.73,17,Thai,Female
79,0,10,10,0.0,176,0.0,85.72,13.54,37,Italian,Male
80,2,17,1,0.0,84,0.0,60.76,6.0,70,Italian,Male
81,1,17,4,0.0,144,0.0,74.2,20.57,48,Chinese,Female
82,1,12,3,0.0,122,0.0,72.11,13.56,99,Mexican,Female
83,1,15,9,0.0,173,0.0,85.46,34.6,69,American,Female
84,1,8,3,0.0,120,0.0,67.89,20.0,49,Spanish,Male
85,0,9,8,0.0,144,0.0,60.76,16.0,76,Greek,Female
86,1,14,6,5.06,142,7.79,76.53,20.29,39,French,Male
87,1,17,9,0.0,118,0.0,89.74,8.43,77,American,Male
88,2,5,7,0.0,110,0.0,69.07,13.75,27,Mexican,Male
89,1,11,10,0.0,133,0.0,84.22,26.6,43,Japanese,Male
90,0,18,3,0.0,148,0.0,88.66,21.14,12,Greek,Male
91,2,18,10,0.0,165,0.0,61.03,12.69,35,French,Female
92,0,18,8,0.0,104,0.0,87.61,9.45,18,Mexican,Male
93,2,20,9,0.0,60,0.0,61.23,6.67,78,Italian,Male
94,0,9,8,0.0,131,0.0,78.34,13.1,30,Greek,Female
95,0,13,7,7.45,147,5.85,76.4,11.31,67,Chinese,Male
96,2,10,4,0.0,173,0.0,75.21,21.62,50,French,Male
97,1,16,9,0.0,134,0.0,88.61,14.89,37,Thai,Male
98,2,13,9,4.87,71,11.42,71.44,7.89,9,Greek,Male
99,2,8,5,0.0,139,0.0,82.23,11.58,84,Greek,Male
100,2,5,10,3.81,148,11.31,64.7,12.33,46,Greek,Female
101,0,14,2,0.0,101,0.0,82.13,7.77,26,Italian,Female
102,2,12,9,0.0,104,0.0,85.41,10.4,40,Mexican,Male
103,2,20,5,16.37,74,9.53,72.61,12.33,8,Japanese,Male
104,2,19,4,0.0,92,0.0,88.77,8.36,25,French,Female
105,1,14,8,0.0,158,0.0,76.36,26.33,37,Mexican,Female
106,0,5,7,0.0,155,0.0,85.31,12.92,47,Greek,Female
107,1,15,6,0.0,167,0.0,67.48,18.56,7,Italian,Female
108,2,12,1,0.0,103,0.0,80.94,8.58,84,Spanish,Female
109,2,18,10,0.0,117,0.0,62.01,8.36,45,Greek,Male
110,2,20,1,9.47,175,12.16,64.79,17.5,89,Spanish,Male
111,1,5,3,0.0,138,0.0,89.84,17.25,79,French,Female
112,1,18,3,0.16,60,12.82,85.53,10.0,88,French,Female
113,2,15,1,14.28,109,9.41,69.69,21.8,44,Italian,Female
114,2,15,9,0.0,176,0.0,84.77,14.67,92,Japanese,Male
115,0,16,6,4.39,167,12.68,82.84,12.85,69,Chinese,Male
116,2,6,2,0.0,130,0.0,76.7,9.29,1,Indian,Male
117,0,12,7,0.0,142,0.0,89.93,11.83,88,Mexican,Female
118,2,15,6,9.19,167,6.45,89.73,20.88,42,Spanish,Male
119,2,11,7,0.0,92,0.0,88.01,15.33,41,Mexican,Male
120,1,13,2,0.0,82,0.0,78.94,9.11,36,Spanish,Female
121,2,20,6,0.0,80,0.0,64.26,7.27,50,Thai,Male
122,1,13,8,8.35,65,14.83,80.32,4.33,53,French,Male
123,2,13,1,0.0,87,0.0,62.59,5.8,1,Spanish,Male
124,1,20,3,0.0,102,0.0,66.66,11.33,100,Thai,Male
125,0,5,3,0.0,62,0.0,88.82,4.77,17,Spanish,Male
126,2,11,1,0.0,152,0.0,65.07,16.89,62,Italian,Male
127,1,16,2,0.0,111,0.0,65.1,7.93,76,Greek,Male
128,2,19,8,0.0,136,0.0,88.36,17.0,78,American,Male
129,2,8,10,0.0,163,0.0,65.68,13.58,40,American,Male
130,1,5,5,0.0,176,0.0,68.86,19.56,43,Greek,Female
131,0,13,10,0.0,130,0.0,85.93,11.82,33,Japanese,Female
132,2,7,3,0.0,120,0.0,86.99,24.0,67,Japanese,Female
133,1,20,2,0.0,102,0.0,72.05,6.8,41,Thai,Male
134,0,17,6,0.0,104,0.0,78.65,7.43,80,Mexican,Female
135,2,16,9,0.0,73,0.0,62.05,6.64,8,Mexican,Female
136,1,11,5,13.96,153,10.3,62.02,25.5,37,Chinese,Male
137,2,13,8,0.0,157,0.0,69.19,26.17,13,Chinese,Female
138,1,17,10,0.0,167,0.0,78.39,13.92,18,French,Male
139,2,10,5,6.71,87,5.37,74.32,17.4,7,American,Female
140,1,9,2,0.0,143,0.0,81.65,11.0,56,Japanese,Female
141,2,17,10,2.39,122,8.37,85.72,17.43,23,Mexican,Female
142,1,9,2,0.0,161,0.0,60.06,17.89,62,Thai,Male
143,1,9,8,5.12,116,6.19,84.97,23.2,89,French,Male
144,2,20,7,0.0,162,0.0,72.84,13.5,31,Italian,Female
145,0,7,9,0.0,80,0.0,75.42,11.43,28,Italian,Male
146,1,13,8,16.15,162,6.61,83.68,11.57,97,American,Male
147,2,9,10,0.0,109,0.0,66.14,8.38,15,Chinese,Male
148,0,8,7,0.0,90,0.0,73.25,9.0,5,Mexican,Male
149,1,13,6,0.0,146,0.0,67.63,12.17,22,Indian,Female
150,0,7,4,0.0,154,0.0,77.95,14.0,28,Italian,Male
151,0,16,4,0.0,121,0.0,62.27,8.07,96,Indian,Male
152,0,19,2,0.0,171,0.0,86.01,17.1,60,Mexican,Female
153,0,16,5,15.4,93,14.3,88.85,6.2,42,Greek,Female
154,2,15,10,0.0,111,0.0,73.55,11.1,66,Spanish,Female
155,2,9,5,0.0,99,0.0,64.87,9.9,72,Spanish,Male
156,0,5,10,0.0,157,0.0,85.72,11.21,72,French,Male
157,0,7,4,0.0,126,0.0,65.86,10.5,81,Thai,Male
158,1,7,8,4.84,142,7.09,65.31,12.91,59,Indian,Female
159,1,18,4,13.36,161,13.23,70.6,16.1,24,Chinese,Male
160,0,6,8,6.27,109,8.42,70.68,12.11,34,Spanish,Female
161,0,11,2,0.0,86,0.0,83.55,14.33,96,Japanese,Female
162,0,17,6,0.0,125,0.0,78.91,12.5,55,Spanish,Male
163,2,11,3,17.5,178,13.81,76.01,11.87,35,Indian,Male
164,1,7,8,0.0,99,0.0,64.24,9.0,63,Greek,Female
165,1,8,9,0.0,160,0.0,74.71,14.55,57,French,Female
166,1,8,7,0.0,90,0.0,60.37,6.43,9,American,Male
167,0,14,7,0.0,66,0.0,65.94,5.08,27,Chinese,Male
168,1,16,5,0.0,147,0.0,72.62,24.5,28,Mexican,Male
169,0,6,10,0.0,159,0.0,79.04,12.23,93,Chinese,Male
170,1,5,4,8.34,128,12.62,64.32,14.22,97,French,Female
171,2,14,1,0.0,129,0.0,88.59,12.9,53,Indian,Male
172,1,10,3,15.57,137,14.64,81.38,15.22,52,French,Female
173,0,20,8,0.0,106,0.0,70.49,10.6,9,French,Female
174,1,16,6,6.95,104,8.15,67.81,9.45,56,Spanish,Male
175,2,10,7,0.0,98,0.0,70.22,7.0,76,American,Female
176,1,6,6,7.03,71,8.81,72.5,10.14,18,French,Female
177,0,10,3,0.0,106,0.0,60.7,10.6,2,Mexican,Female
178,0,15,5,11.2,150,12.2,82.0,11.54,62,Chinese,Female
179,0,7,7,0.0,118,0.0,84.99,14.75,64,Thai,Female
180,0,6,4,0.0,97,0.0,77.8,9.7,81,Chinese,Female
181,1,11,10,0.0,63,0.0,85.71,4.5,69,Indian,Male
182,1,18,5,0.0,147,0.0,62.01,10.5,89,American,Female
183,2,13,10,14.16,143,6.54,65.11,11.0,80,Chinese,Male
184,2,9,10,6.54,118,6.43,64.48,7.87,30,American,Male
185,1,16,2,0.0,155,0.0,71.85,22.14,48,Greek,Female
186,1,20,3,0.0,170,0.0,65.64,28.33,79,Chinese,Female
187,0,12,10,0.0,65,0.0,72.61,5.0,48,Spanish,Male
188,1,6,2,0.0,82,0.0,69.74,7.45,67,Greek,Male
189,1,12,6,0.0,76,0.0,78.75,12.67,84,Indian,Female
190,0,19,10,9.79,163,7.65,89.57,12.54,52,Italian,Female
191,0,19,7,3.58,76,11.49,62.71,6.33,28,Indian,Female
192,0,8,4,12.51,73,9.7,63.02,12.17,44,American,Female
193,0,7,10,0.0,73,0.0,84.02,9.12,93,Italian,Female
194,0,12,8,0.0,158,0.0,85.6,19.75,83,Spanish,Male
195,1,18,2,0.0,95,0.0,83.07,11.88,77,Greek,Male
196,2,5,1,0.0,100,0.0,61.13,12.5,29,Mexican,Female
197,0,6,7,6.52,112,10.97,82.49,8.62,92,Greek,Female
198,0,14,10,0.0,162,0.0,76.12,14.73,97,French,Male
199,1,10,9,0.0,154,0.0,87.18,11.85,3,Chinese,Female
200,2,6,10,0.0,97,0.0,78.73,9.7,70,Thai,Female
201,0,13,5,0.0,63,0.0,63.87,7.0,64,Chinese,Female
202,1,6,3,0.0,135,0.0,73.63,27.0,36,Japanese,Male
203,2,19,10,0.0,106,0.0,71.17,8.15,37,Indian,Male
204,1,18,4,0.0,168,0.0,71.1,11.2,4,Greek,Female
205,0,10,8,0.0,60,0.0,67.37,12.0,11,Japanese,Male
206,2,17,5,7.46,122,13.37,66.14,17.43,9,Italian,Female
207,1,9,5,1.84,91,6.8,89.62,10.11,16,Spanish,Male
208,0,6,9,0.0,131,0.0,64.93,16.38,10,Chinese,Female
209,2,6,10,0.31,136,8.91,81.49,12.36,30,Italian,Female
210,2,11,4,0.0,122,0.0,61.39,15.25,17,Japanese,Female
211,1,15,1,0.0,103,0.0,86.55,10.3,6,Italian,Male
212,1,13,9,18.61,155,9.0,69.21,17.22,17,Chinese,Male
213,2,8,3,8.84,168,10.06,70.31,14.0,69,Japanese,Female
214,2,7,1,0.0,132,0.0,65.79,8.8,29,Greek,Female
215,2,14,1,0.0,77,0.0,71.31,15.4,9,Chinese,Male
216,1,9,8,0.0,173,0.0,66.23,12.36,89,Chinese,Female
217,2,6,5,0.0,150,0.0,72.66,30.0,5,Spanish,Male
218,0,19,3,0.0,142,0.0,83.48,14.2,64,Indian,Male
219,1,11,3,0.0,136,0.0,67.83,9.07,51,French,Male
220,1,7,6,0.0,152,0.0,71.32,12.67,1,Japanese,Male
221,2,10,6,0.0,91,0.0,85.47,9.1,53,Mexican,Female
222,1,5,7,12.6,99,9.38,88.68,12.38,56,Greek,Female
223,2,12,5,0.0,70,0.0,73.81,6.36,37,Greek,Male
224,2,15,2,0.0,124,0.0,84.69,9.54,50,Japanese,Female
225,1,19,2,7.18,155,11.51,72.93,14.09,78,Greek,Male
226,1,5,2,0.0,163,0.0,81.57,13.58,13,Indian,Male
227,2,19,8,0.0,124,0.0,68.07,8.27,15,Greek,Male
228,0,9,4,0.0,158,0.0,67.43,12.15,58,Greek,Female
229,1,13,8,0.0,169,0.0,89.75,16.9,45,American,Female
230,1,10,1,0.0,156,0.0,74.07,22.29,22,Italian,Female
231,1,10,3,3.79,81,12.23,64.61,7.36,64,Italian,Female
232,2,14,7,0.0,140,0.0,84.23,20.0,31,Greek,Male
233,1,15,7,14.31,93,12.05,75.6,6.2,49,French,Female
234,2,17,1,0.0,155,0.0,88.18,15.5,97,Indian,Male
235,1,17,1,0.0,99,0.0,73.69,11.0,60,Spanish,Male
236,1,13,9,0.0,93,0.0,60.91,7.75,33,Spanish,Male
237,1,15,8,9.13,75,6.55,77.51,6.25,85,Indian,Female
238,0,19,1,0.0,125,0.0,71.66,10.42,7,French,Female
239,1,11,4,0.0,164,0.0,85.84,20.5,67,French,Female
240,1,17,1,9.0,163,11.4,81.45,12.54,58,Japanese,Female
241,0,19,3,0.0,68,0.0,66.47,13.6,58,Indian,Female
242,2,16,3,15.99,110,9.29,78.77,10.0,17,Italian,Female
243,2,15,4,0.0,66,0.0,62.18,5.08,94,Mexican,Female
244,2,10,4,0.0,173,0.0,64.32,17.3,50,Greek,Female
245,2,5,1,0.0,171,0.0,88.82,28.5,73,Chinese,Female
246,0,14,2,0.0,118,0.0,85.13,13.11,49,Thai,Male
247,2,18,1,10.94,91,13.03,80.08,7.58,79,Japanese,Female
248,0,14,9,0.0,171,0.0,82.64,13.15,87,Chinese,Female
249,1,11,5,0.0,165,0.0,85.86,23.57,33,Japanese,Male
250,2,19,8,0.0,128,0.0,89.02,25.6,3,Mexican,Female
251,1,15,3,6.17,138,6.99,64.32,17.25,1,Thai,Female
252,1,14,2,0.0,150,0.0,74.68,30.0,5,Thai,Female
253,0,5,10,0.0,165,0.0,69.6,27.5,89,Italian,Female
254,0,16,7,0.0,124,0.0,63.24,8.86,72,Spanish,Female
255,0,18,8,0.0,109,0.0,65.87,9.08,88,French,Male
256,1,8,2,0.0,72,0.0,61.66,10.29,32,Greek,Male
257,2,14,9,0.0,153,0.0,83.03,19.12,86,Mexican,Female
258,2,10,2,9.88,132,5.92,69.69,14.67,75,Spanish,Female
259,0,12,6,0.0,149,0.0,61.9,16.56,79,Greek,Female
260,1,15,3,0.0,164,0.0,76.35,27.33,14,Greek,Female
261,1,17,1,0.0,84,0.0,87.24,7.64,84,Mexican,Female
262,2,15,8,0.0,101,0.0,87.07,10.1,16,American,Female
263,2,18,10,0.0,80,0.0,72.9,6.15,96,Italian,Female
264,0,14,9,16.93,70,14.83,86.72,11.67,60,Indian,Male
265,0,20,10,0.0,82,0.0,77.54,5.47,32,Indian,Male
266,1,19,3,10.83,175,12.08,67.55,14.58,31,Japanese,Male
267,0,13,4,0.0,130,0.0,78.47,21.67,41,Thai,Female
268,2,8,9,16.51,65,11.49,88.46,5.91,25,Chinese,Female
269,2,7,5,0.0,77,0.0,89.42,5.92,13,Spanish,Female
270,2,6,10,13.02,76,5.34,85.44,15.2,54,Thai,Male
271,2,12,10,0.0,137,0.0,62.71,11.42,88,Chinese,Female
272,2,19,3,0.0,112,0.0,72.6,11.2,93,Japanese,Female
273,0,13,10,0.0,101,0.0,79.63,11.22,66,Indian,Male
274,0,8,10,0.0,159,0.0,69.58,11.36,60,Mexican,Female
275,0,15,1,0.0,134,0.0,65.15,13.4,16,American,Female
276,2,11,5,0.0,98,0.0,79.32,16.33,42,American,Male
277,1,9,7,0.0,104,0.0,73.02,10.4,41,American,Male
278,0,16,5,0.0,110,0.0,63.33,18.33,16,American,Female
279,2,12,4,13.89,72,8.08,88.33,5.14,33,Japanese,Male
280,2,9,2,11.79,99,8.95,61.92,7.62,60,Chinese,Male
281,0,20,2,0.0,134,0.0,83.61,16.75,3,Italian,Male
282,1,16,3,0.0,112,0.0,83.88,9.33,77,Indian,Female
283,2,10,8,0.0,167,0.0,60.96,20.88,85,Mexican,Male
284,0,18,8,16.09,139,5.57,81.15,13.9,45,Spanish,Male
285,1,12,5,0.0,98,0.0,61.84,10.89,26,American,Female
286,1,7,6,0.0,89,0.0,72.54,7.42,84,Thai,Female
287,2,10,10,0.0,73,0.0,84.98,6.64,99,Chinese,Male
288,1,13,4,0.0,153,0.0,74.78,25.5,61,Thai,Male
289,0,16,4,0.0,133,0.0,89.07,8.87,9,Spanish,Male
290,0,17,7,6.71,157,5.15,68.35,31.4,49,Indian,Male
291,0,19,8,0.0,89,0.0,63.61,14.83,90,Thai,Female
292,2,17,6,3.99,143,5.7,78.78,15.89,67,Mexican,Female
293,0,19,5,0.0,153,0.0,61.48,17.0,40,Japanese,Male
294,0,6,4,0.0,114,0.0,81.44,8.77,60,French,Female
295,2,14,10,14.83,168,9.75,76.48,12.92,29,Spanish,Male
296,1,20,4,0.0,124,0.0,70.41,20.67,100,Indian,Female
297,0,15,10,5.48,107,13.16,82.33,13.38,9,French,Male
298,1,9,5,0.0,125,0.0,73.55,12.5,25,Chinese,Female
299,1,19,6,12.7,134,7.6,72.15,13.4,26,Chinese,Male
300,2,14,7,0.0,167,0.0,84.34,16.7,47,Thai,Female
301,2,9,4,16.65,103,11.28,79.1,14.71,47,French,Female
302,2,8,10,0.0,105,0.0,61.59,15.0,53,Spanish,Male
303,2,8,10,0.0,170,0.0,87.03,13.08,64,American,Female
304,1,8,10,19.94,61,10.07,72.42,5.08,36,Indian,Female
305,0,12,4,4.9,150,14.96,68.32,10.71,63,Japanese,Female
306,1,6,5,14.93,79,13.66,89.73,6.08,18,Thai,Male
307,1,11,8,0.0,74,0.0,66.22,4.93,30,Chinese,Female
308,1,18,6,0.0,82,0.0,82.52,16.4,51,Thai,Male
309,0,8,3,11.13,137,11.76,82.14,12.45,23,Thai,Female
310,2,16,7,0.0,161,0.0,82.84,32.2,95,Indian,Male
311,1,17,8,0.0,139,0.0,79.67,9.93,94,Indian,Male
312,2,19,5,6.23,175,6.8,77.63,12.5,1,French,Female
313,2,17,9,0.0,93,0.0,89.78,7.15,1,Spanish,Female
314,0,14,3,0.0,178,0.0,62.29,25.43,60,Mexican,Male
315,1,9,4,16.63,157,10.41,83.79,31.4,87,Indian,Male
316,0,19,10,0.0,128,0.0,65.78,16.0,57,Mexican,Male
317,1,5,3,0.0,96,0.0,72.87,8.0,97,Indian,Male
318,1,5,7,4.03,88,6.51,88.29,5.87,96,French,Female
319,0,7,3,0.0,63,0.0,86.14,4.2,97,Greek,Male
320,2,7,5,0.0,74,0.0,64.1,5.69,25,American,Female
321,1,14,9,0.0,175,0.0,76.3,15.91,1,Chinese,Female
322,1,15,1,0.0,151,0.0,78.84,13.73,57,Indian,Female
323,1,13,6,5.74,88,7.01,78.65,6.29,40,Chinese,Female
324,2,16,1,11.94,93,14.19,88.5,13.29,56,Italian,Male
325,2,10,10,0.0,85,0.0,77.84,8.5,54,Italian,Male
326,0,18,4,0.0,108,0.0,81.1,9.0,8,Italian,Male
327,2,12,3,18.19,72,9.15,83.23,12.0,17,Greek,Female
328,0,8,2,3.02,112,5.03,71.62,7.47,75,American,Male
329,0,13,6,0.0,99,0.0,62.9,9.0,97,French,Female
330,2,10,2,0.0,112,0.0,60.58,8.0,76,American,Male
331,1,18,1,0.0,97,0.0,70.93,13.86,92,Italian,Female
332,0,16,7,18.45,75,10.49,75.79,9.38,57,French,Male
333,2,6,8,0.0,151,0.0,87.28,10.07,34,Greek,Female
334,0,20,8,0.0,172,0.0,78.29,13.23,17,Chinese,Female
335,0,8,5,0.0,63,0.0,65.08,4.5,70,French,Female
336,1,17,6,0.0,144,0.0,87.67,10.29,9,American,Female
337,0,6,7,0.0,173,0.0,84.76,11.53,32,Japanese,Male
338,2,10,1,0.0,106,0.0,71.25,17.67,71,Chinese,Female
339,2,6,10,0.0,125,0.0,79.07,11.36,77,American,Female
340,1,7,4,0.0,179,0.0,88.78,12.79,87,Italian,Female
341,0,5,6,0.0,84,0.0,61.72,14.0,32,French,Female
342,1,20,9,12.46,131,8.48,78.53,14.56,87,French,Male
343,1,9,5,0.0,159,0.0,87.98,19.88,64,Greek,Male
344,1,8,5,0.0,168,0.0,78.89,33.6,31,Japanese,Male
345,0,10,7,0.0,159,0.0,74.96,26.5,89,Mexican,Male
346,2,5,6,0.0,168,0.0,73.48,24.0,6,American,Male
347,1,13,5,19.52,84,5.53,67.4,5.6,71,American,Male
348,1,18,1,0.0,172,0.0,68.54,34.4,89,American,Female
349,0,10,10,13.92,112,14.24,74.14,11.2,96,Japanese,Male
350,0,12,6,16.42,103,7.89,64.1,11.44,64,Japanese,Male
351,2,18,4,13.75,86,13.09,72.1,6.14,29,Thai,Female
352,0,10,10,0.0,125,0.0,71.06,8.93,61,Chinese,Male
353,1,16,2,0.0,161,0.0,72.19,11.5,35,Chinese,Female
354,1,8,5,0.0,97,0.0,74.69,19.4,88,Indian,Male
355,0,8,1,0.0,162,0.0,70.92,23.14,36,Spanish,Female
356,0,13,2,0.0,62,0.0,85.04,6.2,35,Mexican,Male
357,1,6,4,3.9,113,14.65,87.9,12.56,33,Indian,Female
358,2,12,5,15.95,64,12.7,85.94,4.57,22,Italian,Male
359,2,8,10,0.0,69,0.0,80.15,5.31,29,American,Female
360,1,7,7,0.0,160,0.0,71.08,10.67,20,French,Male
361,0,8,4,0.0,91,0.0,75.2,13.0,29,Thai,Female
362,0,9,4,0.0,104,0.0,61.13,13.0,63,Japanese,Male
363,0,12,8,10.91,107,12.26,69.46,17.83,77,Japanese,Male
364,2,8,5,0.0,167,0.0,82.15,20.88,58,Greek,Female
365,0,10,4,0.0,120,0.0,69.4,24.0,99,Mexican,Female
366,2,8,10,0.0,78,0.0,73.86,8.67,70,Spanish,Female
367,1,14,1,0.0,91,0.0,70.13,10.11,78,Thai,Female
368,0,5,8,0.0,150,0.0,82.46,25.0,8,French,Female
369,0,14,1,0.0,171,0.0,63.27,13.15,83,Japanese,Female
370,0,7,5,0.0,140,0.0,68.31,11.67,41,French,Female
371,1,16,9,6.86,62,8.0,66.74,8.86,81,Spanish,Female
372,0,15,6,2.82,62,9.3,69.58,6.89,75,Greek,Male
373,1,17,4,0.0,99,0.0,89.53,7.07,35,Italian,Female
374,2,10,9,0.0,138,0.0,66.16,23.0,80,Italian,Male
375,2,17,4,0.0,134,0.0,68.84,11.17,21,French,Female
376,0,19,3,0.0,106,0.0,72.58,17.67,75,Mexican,Male
377,2,16,8,12.05,125,13.94,76.24,12.5,57,French,Female
378,1,12,1,5.95,102,10.97,71.12,6.8,47,Mexican,Male
379,0,5,3,0.0,84,0.0,71.2,12.0,56,Greek,Female
380,2,13,5,0.0,81,0.0,78.29,10.12,31,Indian,Female
381,1,7,8,0.0,180,0.0,83.72,16.36,2,Greek,Male
382,1,19,3,15.45,63,14.75,70.93,9.0,7,Japanese,Female
383,1,14,3,0.0,145,0.0,66.77,16.11,71,American,Male
384,0,16,3,0.0,160,0.0,78.86,17.78,90,Greek,Male
385,2,18,4,2.45,123,8.44,74.07,13.67,5,French,Female
386,0,12,8,5.37,162,11.76,86.34,23.14,100,Greek,Male
387,1,20,2,0.0,166,0.0,66.46,11.07,68,French,Female
388,1,14,8,0.0,72,0.0,70.05,9.0,57,Spanish,Male
389,1,10,6,0.0,169,0.0,83.67,11.27,40,Mexican,Female
390,1,5,8,0.0,100,0.0,61.69,10.0,73,French,Male
391,1,9,3,0.0,157,0.0,61.94,14.27,45,Thai,Male
392,1,16,9,0.0,65,0.0,62.96,5.0,59,American,Female
393,0,9,3,0.0,67,0.0,65.96,4.79,78,Indian,Male
394,1,18,6,0.0,87,0.0,77.36,6.21,76,Italian,Female
395,2,14,9,0.0,80,0.0,78.87,6.67,34,Japanese,Female
396,2,20,6,0.0,111,0.0,81.48,13.88,64,American,Female
